FID IID SEX AFF PC1 PC2 Population
HG00096 HG00096 0 1 -0.0105 0.0268 GBR
HG00097 HG00097 0 1 -0.0104 0.0275 GBR
HG00099 HG00099 0 1 -0.0106 0.0276 GBR
HG00100 HG00100 0 1 -0.0102 0.0276 GBR
HG00101 HG00101 0 1 -0.0103 0.0270 GBR
HG00102 HG00102 0 1 -0.0109 0.0271 GBR
HG00103 HG00103 0 1 -0.0106 0.0274 GBR
HG00105 HG00105 0 1 -0.0104 0.0272 GBR
HG00106 HG00106 0 1 -0.0109 0.0276 GBR
HG00107 HG00107 0 1 -0.0112 0.0276 GBR
HG00108 HG00108 0 1 -0.0102 0.0275 GBR
HG00109 HG00109 0 1 -0.0104 0.0272 GBR
HG00110 HG00110 0 1 -0.0107 0.0271 GBR
HG00111 HG00111 0 1 -0.0109 0.0275 GBR
HG00112 HG00112 0 1 -0.0110 0.0273 GBR
HG00113 HG00113 0 1 -0.0105 0.0273 GBR
HG00114 HG00114 0 1 -0.0105 0.0273 GBR
HG00115 HG00115 0 1 -0.0105 0.0274 GBR
HG00116 HG00116 0 1 -0.0110 0.0271 GBR
HG00117 HG00117 0 1 -0.0105 0.0279 GBR
HG00118 HG00118 0 1 -0.0105 0.0271 GBR
HG00119 HG00119 0 1 -0.0106 0.0274 GBR
HG00121 HG00121 0 1 -0.0109 0.0276 GBR
HG00122 HG00122 0 1 -0.0107 0.0270 GBR
HG00123 HG00123 0 1 -0.0104 0.0274 GBR
HG00125 HG00125 0 1 -0.0104 0.0272 GBR
HG00126 HG00126 0 1 -0.0105 0.0283 GBR
HG00127 HG00127 0 1 -0.0107 0.0277 GBR
HG00128 HG00128 0 1 -0.0102 0.0285 GBR
HG00129 HG00129 0 1 -0.0105 0.0279 GBR
HG00130 HG00130 0 1 -0.0099 0.0276 GBR
HG00131 HG00131 0 1 -0.0106 0.0277 GBR
HG00132 HG00132 0 1 -0.0107 0.0283 GBR
HG00133 HG00133 0 1 -0.0105 0.0279 GBR
HG00136 HG00136 0 1 -0.0108 0.0271 GBR
HG00137 HG00137 0 1 -0.0107 0.0278 GBR
HG00138 HG00138 0 1 -0.0103 0.0281 GBR
HG00139 HG00139 0 1 -0.0103 0.0279 GBR
HG00140 HG00140 0 1 -0.0106 0.0271 GBR
HG00141 HG00141 0 1 -0.0107 0.0283 GBR
HG00142 HG00142 0 1 -0.0102 0.0283 GBR
HG00143 HG00143 0 1 -0.0104 0.0282 GBR
HG00145 HG00145 0 1 -0.0104 0.0277 GBR
HG00146 HG00146 0 1 -0.0109 0.0280 GBR
HG00148 HG00148 0 1 -0.0106 0.0279 GBR
HG00149 HG00149 0 1 -0.0104 0.0282 GBR
HG00150 HG00150 0 1 -0.0106 0.0271 GBR
HG00151 HG00151 0 1 -0.0108 0.0268 GBR
HG00154 HG00154 0 1 -0.0104 0.0286 GBR
HG00155 HG00155 0 1 -0.0109 0.0275 GBR
HG00157 HG00157 0 1 -0.0106 0.0270 GBR
HG00158 HG00158 0 1 -0.0108 0.0266 GBR
HG00159 HG00159 0 1 -0.0105 0.0280 GBR
HG00160 HG00160 0 1 -0.0108 0.0283 GBR
HG00171 HG00171 0 1 -0.0120 0.0232 FIN
HG00173 HG00173 0 1 -0.0117 0.0233 FIN
HG00174 HG00174 0 1 -0.0115 0.0249 FIN
HG00176 HG00176 0 1 -0.0114 0.0229 FIN
HG00177 HG00177 0 1 -0.0118 0.0221 FIN
HG00178 HG00178 0 1 -0.0113 0.0238 FIN
HG00179 HG00179 0 1 -0.0114 0.0232 FIN
HG00180 HG00180 0 1 -0.0114 0.0237 FIN
HG00181 HG00181 0 1 -0.0103 0.0238 FIN
HG00182 HG00182 0 1 -0.0113 0.0232 FIN
HG00183 HG00183 0 1 -0.0115 0.0236 FIN
HG00185 HG00185 0 1 -0.0114 0.0229 FIN
HG00186 HG00186 0 1 -0.0116 0.0235 FIN
HG00187 HG00187 0 1 -0.0109 0.0230 FIN
HG00188 HG00188 0 1 -0.0114 0.0242 FIN
HG00189 HG00189 0 1 -0.0115 0.0228 FIN
HG00190 HG00190 0 1 -0.0110 0.0248 FIN
HG00231 HG00231 0 1 -0.0107 0.0275 GBR
HG00232 HG00232 0 1 -0.0103 0.0281 GBR
HG00233 HG00233 0 1 -0.0101 0.0282 GBR
HG00234 HG00234 0 1 -0.0107 0.0280 GBR
HG00235 HG00235 0 1 -0.0105 0.0275 GBR
HG00236 HG00236 0 1 -0.0099 0.0281 GBR
HG00237 HG00237 0 1 -0.0104 0.0278 GBR
HG00238 HG00238 0 1 -0.0104 0.0269 GBR
HG00239 HG00239 0 1 -0.0102 0.0284 GBR
HG00242 HG00242 0 1 -0.0104 0.0274 GBR
HG00243 HG00243 0 1 -0.0104 0.0278 GBR
HG00244 HG00244 0 1 -0.0103 0.0279 GBR
HG00245 HG00245 0 1 -0.0101 0.0275 GBR
HG00246 HG00246 0 1 -0.0104 0.0273 GBR
HG00250 HG00250 0 1 -0.0106 0.0276 GBR
HG00251 HG00251 0 1 -0.0106 0.0277 GBR
HG00252 HG00252 0 1 -0.0105 0.0278 GBR
HG00253 HG00253 0 1 -0.0105 0.0281 GBR
HG00254 HG00254 0 1 -0.0101 0.0275 GBR
HG00255 HG00255 0 1 -0.0105 0.0276 GBR
HG00256 HG00256 0 1 -0.0107 0.0281 GBR
HG00257 HG00257 0 1 -0.0102 0.0274 GBR
HG00258 HG00258 0 1 -0.0105 0.0275 GBR
HG00259 HG00259 0 1 -0.0104 0.0277 GBR
HG00260 HG00260 0 1 -0.0107 0.0279 GBR
HG00261 HG00261 0 1 -0.0101 0.0274 GBR
HG00262 HG00262 0 1 -0.0111 0.0273 GBR
HG00263 HG00263 0 1 -0.0106 0.0282 GBR
HG00264 HG00264 0 1 -0.0104 0.0275 GBR
HG00265 HG00265 0 1 -0.0108 0.0289 GBR
HG00266 HG00266 0 1 -0.0112 0.0234 FIN
HG00267 HG00267 0 1 -0.0115 0.0231 FIN
HG00268 HG00268 0 1 -0.0111 0.0243 FIN
HG00269 HG00269 0 1 -0.0114 0.0239 FIN
HG00271 HG00271 0 1 -0.0114 0.0222 FIN
HG00272 HG00272 0 1 -0.0112 0.0226 FIN
HG00273 HG00273 0 1 -0.0115 0.0240 FIN
HG00274 HG00274 0 1 -0.0116 0.0252 FIN
HG00275 HG00275 0 1 -0.0110 0.0246 FIN
HG00276 HG00276 0 1 -0.0112 0.0238 FIN
HG00277 HG00277 0 1 -0.0114 0.0253 FIN
HG00278 HG00278 0 1 -0.0115 0.0242 FIN
HG00280 HG00280 0 1 -0.0114 0.0236 FIN
HG00281 HG00281 0 1 -0.0119 0.0233 FIN
HG00282 HG00282 0 1 -0.0110 0.0232 FIN
HG00284 HG00284 0 1 -0.0116 0.0240 FIN
HG00285 HG00285 0 1 -0.0116 0.0228 FIN
HG00288 HG00288 0 1 -0.0112 0.0237 FIN
HG00290 HG00290 0 1 -0.0116 0.0227 FIN
HG00304 HG00304 0 1 -0.0111 0.0245 FIN
HG00306 HG00306 0 1 -0.0114 0.0245 FIN
HG00308 HG00308 0 1 -0.0115 0.0234 FIN
HG00309 HG00309 0 1 -0.0112 0.0234 FIN
HG00310 HG00310 0 1 -0.0112 0.0250 FIN
HG00311 HG00311 0 1 -0.0113 0.0253 FIN
HG00313 HG00313 0 1 -0.0114 0.0232 FIN
HG00315 HG00315 0 1 -0.0112 0.0236 FIN
HG00318 HG00318 0 1 -0.0115 0.0249 FIN
HG00319 HG00319 0 1 -0.0111 0.0235 FIN
HG00320 HG00320 0 1 -0.0113 0.0239 FIN
HG00321 HG00321 0 1 -0.0117 0.0232 FIN
HG00323 HG00323 0 1 -0.0111 0.0236 FIN
HG00324 HG00324 0 1 -0.0114 0.0235 FIN
HG00325 HG00325 0 1 -0.0122 0.0226 FIN
HG00326 HG00326 0 1 -0.0115 0.0238 FIN
HG00327 HG00327 0 1 -0.0117 0.0233 FIN
HG00328 HG00328 0 1 -0.0115 0.0248 FIN
HG00329 HG00329 0 1 -0.0114 0.0247 FIN
HG00330 HG00330 0 1 -0.0111 0.0236 FIN
HG00331 HG00331 0 1 -0.0113 0.0242 FIN
HG00332 HG00332 0 1 -0.0113 0.0236 FIN
HG00334 HG00334 0 1 -0.0112 0.0250 FIN
HG00335 HG00335 0 1 -0.0116 0.0243 FIN
HG00336 HG00336 0 1 -0.0113 0.0232 FIN
HG00337 HG00337 0 1 -0.0112 0.0256 FIN
HG00338 HG00338 0 1 -0.0109 0.0245 FIN
HG00339 HG00339 0 1 -0.0116 0.0229 FIN
HG00341 HG00341 0 1 -0.0105 0.0243 FIN
HG00342 HG00342 0 1 -0.0116 0.0225 FIN
HG00343 HG00343 0 1 -0.0112 0.0239 FIN
HG00344 HG00344 0 1 -0.0113 0.0254 FIN
HG00345 HG00345 0 1 -0.0114 0.0237 FIN
HG00346 HG00346 0 1 -0.0113 0.0242 FIN
HG00349 HG00349 0 1 -0.0114 0.0232 FIN
HG00350 HG00350 0 1 -0.0105 0.0259 FIN
HG00351 HG00351 0 1 -0.0111 0.0238 FIN
HG00353 HG00353 0 1 -0.0115 0.0241 FIN
HG00355 HG00355 0 1 -0.0114 0.0253 FIN
HG00356 HG00356 0 1 -0.0113 0.0242 FIN
HG00357 HG00357 0 1 -0.0113 0.0244 FIN
HG00358 HG00358 0 1 -0.0112 0.0232 FIN
HG00360 HG00360 0 1 -0.0109 0.0246 FIN
HG00361 HG00361 0 1 -0.0118 0.0224 FIN
HG00362 HG00362 0 1 -0.0113 0.0240 FIN
HG00364 HG00364 0 1 -0.0112 0.0239 FIN
HG00365 HG00365 0 1 -0.0113 0.0233 FIN
HG00366 HG00366 0 1 -0.0113 0.0234 FIN
HG00367 HG00367 0 1 -0.0118 0.0227 FIN
HG00368 HG00368 0 1 -0.0115 0.0229 FIN
HG00369 HG00369 0 1 -0.0117 0.0237 FIN
HG00371 HG00371 0 1 -0.0115 0.0233 FIN
HG00372 HG00372 0 1 -0.0120 0.0244 FIN
HG00373 HG00373 0 1 -0.0118 0.0222 FIN
HG00375 HG00375 0 1 -0.0114 0.0241 FIN
HG00376 HG00376 0 1 -0.0113 0.0251 FIN
HG00378 HG00378 0 1 -0.0115 0.0237 FIN
HG00379 HG00379 0 1 -0.0115 0.0239 FIN
HG00380 HG00380 0 1 -0.0105 0.0258 FIN
HG00381 HG00381 0 1 -0.0116 0.0247 FIN
HG00382 HG00382 0 1 -0.0111 0.0228 FIN
HG00383 HG00383 0 1 -0.0113 0.0235 FIN
HG00384 HG00384 0 1 -0.0118 0.0246 FIN
HG00403 HG00403 0 1 -0.0166 -0.0340 CHS
HG00404 HG00404 0 1 -0.0174 -0.0340 CHS
HG00406 HG00406 0 1 -0.0170 -0.0344 CHS
HG00407 HG00407 0 1 -0.0172 -0.0338 CHS
HG00409 HG00409 0 1 -0.0175 -0.0337 CHS
HG00410 HG00410 0 1 -0.0170 -0.0332 CHS
HG00419 HG00419 0 1 -0.0171 -0.0341 CHS
HG00421 HG00421 0 1 -0.0172 -0.0345 CHS
HG00422 HG00422 0 1 -0.0174 -0.0342 CHS
HG00428 HG00428 0 1 -0.0175 -0.0337 CHS
HG00436 HG00436 0 1 -0.0170 -0.0341 CHS
HG00437 HG00437 0 1 -0.0171 -0.0342 CHS
HG00442 HG00442 0 1 -0.0171 -0.0346 CHS
HG00443 HG00443 0 1 -0.0171 -0.0338 CHS
HG00445 HG00445 0 1 -0.0172 -0.0334 CHS
HG00446 HG00446 0 1 -0.0173 -0.0339 CHS
HG00448 HG00448 0 1 -0.0168 -0.0336 CHS
HG00449 HG00449 0 1 -0.0169 -0.0343 CHS
HG00451 HG00451 0 1 -0.0171 -0.0342 CHS
HG00452 HG00452 0 1 -0.0168 -0.0340 CHS
HG00457 HG00457 0 1 -0.0171 -0.0344 CHS
HG00458 HG00458 0 1 -0.0172 -0.0337 CHS
HG00463 HG00463 0 1 -0.0172 -0.0344 CHS
HG00464 HG00464 0 1 -0.0173 -0.0338 CHS
HG00472 HG00472 0 1 -0.0171 -0.0340 CHS
HG00473 HG00473 0 1 -0.0171 -0.0341 CHS
HG00475 HG00475 0 1 -0.0171 -0.0336 CHS
HG00476 HG00476 0 1 -0.0174 -0.0341 CHS
HG00478 HG00478 0 1 -0.0172 -0.0350 CHS
HG00479 HG00479 0 1 -0.0175 -0.0333 CHS
HG00500 HG00500 0 1 -0.0170 -0.0341 CHS
HG00513 HG00513 0 1 -0.0168 -0.0347 CHS
HG00524 HG00524 0 1 -0.0171 -0.0337 CHS
HG00525 HG00525 0 1 -0.0167 -0.0333 CHS
HG00530 HG00530 0 1 -0.0172 -0.0338 CHS
HG00531 HG00531 0 1 -0.0172 -0.0339 CHS
HG00533 HG00533 0 1 -0.0173 -0.0336 CHS
HG00534 HG00534 0 1 -0.0171 -0.0337 CHS
HG00536 HG00536 0 1 -0.0173 -0.0339 CHS
HG00537 HG00537 0 1 -0.0173 -0.0342 CHS
HG00543 HG00543 0 1 -0.0169 -0.0341 CHS
HG00551 HG00551 0 1 -0.0067 0.0192 PUR
HG00553 HG00553 0 1 -0.0029 0.0138 PUR
HG00554 HG00554 0 1 -0.0070 0.0204 PUR
HG00556 HG00556 0 1 -0.0172 -0.0334 CHS
HG00557 HG00557 0 1 -0.0169 -0.0343 CHS
HG00559 HG00559 0 1 -0.0172 -0.0339 CHS
HG00560 HG00560 0 1 -0.0171 -0.0344 CHS
HG00565 HG00565 0 1 -0.0169 -0.0346 CHS
HG00566 HG00566 0 1 -0.0172 -0.0342 CHS
HG00580 HG00580 0 1 -0.0173 -0.0341 CHS
HG00581 HG00581 0 1 -0.0169 -0.0337 CHS
HG00583 HG00583 0 1 -0.0171 -0.0346 CHS
HG00584 HG00584 0 1 -0.0166 -0.0338 CHS
HG00589 HG00589 0 1 -0.0174 -0.0343 CHS
HG00590 HG00590 0 1 -0.0173 -0.0329 CHS
HG00592 HG00592 0 1 -0.0170 -0.0329 CHS
HG00593 HG00593 0 1 -0.0171 -0.0348 CHS
HG00596 HG00596 0 1 -0.0173 -0.0356 CHS
HG00598 HG00598 0 1 -0.0171 -0.0345 CHS
HG00599 HG00599 0 1 -0.0167 -0.0334 CHS
HG00608 HG00608 0 1 -0.0170 -0.0344 CHS
HG00610 HG00610 0 1 -0.0170 -0.0340 CHS
HG00611 HG00611 0 1 -0.0171 -0.0335 CHS
HG00613 HG00613 0 1 -0.0173 -0.0344 CHS
HG00614 HG00614 0 1 -0.0169 -0.0340 CHS
HG00619 HG00619 0 1 -0.0169 -0.0343 CHS
HG00620 HG00620 0 1 -0.0177 -0.0342 CHS
HG00622 HG00622 0 1 -0.0172 -0.0346 CHS
HG00623 HG00623 0 1 -0.0169 -0.0346 CHS
HG00625 HG00625 0 1 -0.0170 -0.0334 CHS
HG00626 HG00626 0 1 -0.0174 -0.0353 CHS
HG00628 HG00628 0 1 -0.0169 -0.0340 CHS
HG00629 HG00629 0 1 -0.0171 -0.0342 CHS
HG00631 HG00631 0 1 -0.0168 -0.0336 CHS
HG00632 HG00632 0 1 -0.0170 -0.0340 CHS
HG00634 HG00634 0 1 -0.0171 -0.0340 CHS
HG00637 HG00637 0 1 -0.0041 0.0163 PUR
HG00638 HG00638 0 1 -0.0032 0.0161 PUR
HG00640 HG00640 0 1 -0.0077 0.0204 PUR
HG00641 HG00641 0 1 -0.0072 0.0179 PUR
HG00650 HG00650 0 1 -0.0171 -0.0344 CHS
HG00651 HG00651 0 1 -0.0173 -0.0343 CHS
HG00653 HG00653 0 1 -0.0170 -0.0342 CHS
HG00654 HG00654 0 1 -0.0170 -0.0342 CHS
HG00656 HG00656 0 1 -0.0168 -0.0342 CHS
HG00657 HG00657 0 1 -0.0171 -0.0338 CHS
HG00662 HG00662 0 1 -0.0172 -0.0336 CHS
HG00663 HG00663 0 1 -0.0175 -0.0341 CHS
HG00671 HG00671 0 1 -0.0171 -0.0338 CHS
HG00672 HG00672 0 1 -0.0172 -0.0341 CHS
HG00674 HG00674 0 1 -0.0167 -0.0345 CHS
HG00675 HG00675 0 1 -0.0169 -0.0349 CHS
HG00683 HG00683 0 1 -0.0172 -0.0336 CHS
HG00684 HG00684 0 1 -0.0169 -0.0343 CHS
HG00689 HG00689 0 1 -0.0172 -0.0352 CHS
HG00690 HG00690 0 1 -0.0172 -0.0338 CHS
HG00692 HG00692 0 1 -0.0171 -0.0333 CHS
HG00693 HG00693 0 1 -0.0172 -0.0338 CHS
HG00698 HG00698 0 1 -0.0169 -0.0343 CHS
HG00699 HG00699 0 1 -0.0168 -0.0344 CHS
HG00701 HG00701 0 1 -0.0170 -0.0340 CHS
HG00704 HG00704 0 1 -0.0172 -0.0340 CHS
HG00705 HG00705 0 1 -0.0174 -0.0342 CHS
HG00707 HG00707 0 1 -0.0175 -0.0342 CHS
HG00708 HG00708 0 1 -0.0173 -0.0344 CHS
HG00717 HG00717 0 1 -0.0167 -0.0346 CHS
HG00728 HG00728 0 1 -0.0175 -0.0333 CHS
HG00729 HG00729 0 1 -0.0172 -0.0344 CHS
HG00731 HG00731 0 1 -0.0090 0.0232 PUR
HG00732 HG00732 0 1 -0.0080 0.0197 PUR
HG00734 HG00734 0 1 -0.0063 0.0162 PUR
HG00736 HG00736 0 1 -0.0076 0.0211 PUR
